;Informationsteknologi;Maskinteknik, diplomingenioer;Matematik-teknologi;Medialogi;Produkt- og designpsykologi;Robotteknologi;Teknoantropologi
at udvikle og anvende ny teknologi?;5;10;6;3;4;8;3
matematik;5;7;9;6;5;8;5
videnskabelig analyse?;2;2;8;6;9;3;6
at programmere?;7;2;6;7;5;8;1
samarbejde paa tvaers af fag?;2;8;6;5;9;5;9
at designe it-loesninger?;8;6;1;2;9;7;3
implementering af teori i praksis?;1;10;4;5;2;8;2
etik omkring teknologi?;10;1;2;2;4;2;8
at designe brugerflader på teknologi?;8;1;1;8;1;4;6
